"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Algood/Cookeville Head Start","36.1940406","-85.4507041","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 537-9057","180 W Church St","Cookeville","TN","38506-5172","41629"
"Arnold HS","35.16453","-84.8775129","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 479-9339","473 8th St NW","Cleveland","TN","37311-1871","82089"
"Eagleton Elementary Head Start","35.8061426","-83.9161939","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 983-9056","708 Sam Houston School Rd","Maryville","TN","37804-5631","56972"
"HOPEWELL HEAD START / PRE-K","35.23105049999999","-84.89022009999996","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 728-0283","5350 Freewill Rd NW","Cleveland","TN","37312-1421","81998"
"Harrison Hills Center","35.7987291","-84.2996885","Mid-East Community Action Agency
315 E Race St
Kingston, TN 37763-2828
(865)376-2308 - 231
","04CH0450","000","Head Start","Head Start","Mid-East Community Action Agency","","315 E Race St ","Kingston","TN","37763-2828","(865) 988-5133","4384 Harrison Rd","Lenoir City","TN","37771-8146","38393"
"Keenburg","36.3787153","-82.2209891","Carter County Head Start
305 Academy Street
Elizabethton, TN 37643-2208
(423)547-4009
","04CH4688","002","Head Start","Head Start","Carter County Head Start","","305 Academy Street ","Elizabethton","TN","37643-2208","(423) 547-8320","139 Keenburg Rd","Elizabethton","TN","37643-5903","40767"
"Northhaven Elementarty","35.2656685","-90.0423111","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 353-8580","5157 N Circle Rd","Memphis","TN","38127-2503","86090"
"Bondecroft Head Start","35.945609","-85.31464690000001","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 935-8420","9020 Crossville Hwy","Sparta","TN","38583-3188","41626"
"Sherwood Elementary","35.1001232","-89.93967980000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-4864","1156 Robin Hood Ln","Memphis","TN","38111-5539","46493"
"Powell Valley Head Start Center","36.504415","-83.79265099999998","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 869-0222","245 Powell Valley School Ln","Speedwell","TN","37870-7431","80722"
"Midway Head Start","35.792556525907635","-85.6951218772461","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 686-2098","4764 Hennessee Bridge Rd","Rock Island","TN","38581-3652","41638"
"Treadwell Elementary","35.1571352","-89.94273959999998","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-6130","3538 Given Ave","Memphis","TN","38122-3334","46474"
"Bruce Elementary","35.1313518","-90.02252490000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-4495","581 S Bellevue Blvd","Memphis","TN","38104-4528","46449"
"Trenton Pre-K Head Start","35.9787637","-88.93556610000002","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 855-0971","421 E. Second St.","Trenton","TN","38382-2801","84598"
"MTN. VIEW HEAD START","35.327234","-84.54204991534425","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 263-1065","145 County Road 627","Etowah","TN","37331-5252","81996"
"Home Away From Home Child Care Center/Head Start","35.9626165","-85.04327360000002","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 484-3238","18 Obed St","Crossville","TN","38555-4045","41628"
"Westhaven Elementary","35.0222129","-90.0492805","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-8202","4585 Hodge Rd","Memphis","TN","38109-5958","86030"
"Crossville Head Start","35.9594194","-84.99693969999998","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 484-4114","1831 E First St","Crossville","TN","38555-4649","41641"
"WCS - Southside","36.1703639","-86.30399469999998","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9556","1224 Murfreesboro Rd","Lebanon","TN","37090-5301","48611"
"Ottway","36.267309","-82.87040999999999","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 234-0580","2705 Ottway Rd","Greeneville","TN","37745-8783","39057"
"Byrdstown Head Start","36.5780515","-85.13753939999998","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 864-3575","1012 Beason Rd","Byrdstown","TN","38549-2005","41634"
"Orchard Knob Elementary","35.039699","-85.270927","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 493-0385","2000 E 3rd St","Chattanooga","TN","37404-2609","86358"
"Marshall County Head Start","35.459853","-86.78790429999998","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 359-9691","820 2nd Ave N","Lewisburg","TN","37091-2353","32649"
"Kenwood","36.5784219","-87.38476659999998","Clarksville / Montgomery County CAA
150 Lafayette Rd
Clarksville, TN 37042-4205
(931)896-1806
","04CH010248","000","Head Start","Head Start","Clarksville / Montgomery County CAA","","150 Lafayette Rd ","Clarksville","TN","37042-4205","(931) 552-4047","185 E Pine Mountain Rd","Clarksville","TN","37042-8413","80331"
"Adamsville","35.233099","-88.38912900000003","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 632-5116","214 South Oak Street
305 Hughes","Adamsville","TN","38310-2304","43932"
"OAK GROVE HEAD START / PRE-K","35.15292549999999","-84.8364138","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 614-7395","400 Durkee Rd SE","Cleveland","TN","37323-6543","81987"
